ID,Technique,Description,Tags,Fields,Program,Abstract,Block,Related
metac_020,CO-OP CO-OP,"This method involves structuring the class so that students work in teams with the goal of achieving a common objective that benefits other students.

1. First, the topics are introduced to encourage participation.

2. Second, the students themselves **freely choose the topics** they consider most relevant, and each team works on one.

3. Within the team, the topic is divided into **subtopics**, which are developed by each member.

4. Each member then shares their knowledge with the rest of the group.

5. Finally, the group prepares its presentation and presents it to the rest of the class.

Evaluation takes place at three levels: peer evaluation of the group presentation, peer evaluation of individual contributions to the group, and evaluation of the material produced by the group.

Adapted from: Research Group on Peer Learning. (2019). Cooperative Learning Methods and Orientación Andújar. (2015). Activities to Promote Cooperative Learning.

---

## An Example of Applying the Cooperative Activity CO-OP CO-OP

1. The teacher introduces the topics of the learning unit, such as the history of contemporary art.

1. Students form teams and freely choose the topics they consider most relevant to explore further, such as Surrealism or Pop Art.

1. Within each team, students divide the selected topic into subtopics, and each member of the group works on a different subtopic, such as the life and work of Salvador Dalí or the influence of advertising on Pop Art.

1. Each team member contributes their knowledge to the group, and the different perspectives and interpretations are discussed.

1. Finally, each team prepares a presentation on their topic for the rest of the class, including images, examples, and detailed explanations.

- The evaluation takes place through peer assessment of the group presentation, where each student evaluates the participation and contributions of the other group members.

- Individual contributions to the group are also peer-assessed, where each student evaluates their own participation and input.

- Finally, the materials produced by the group, such as notes, images, or diagrams used in the presentation, are evaluated.","cooperation, research, presentation, peer evaluation, individual responsibility","Critical Thinking and Metacognition, Formative Assessment and Feedback, Cohesion and Cooperation",GeCo - Cooperative Team Generator|https://jjdeharo.github.io/geco/,"A cooperative learning method in which teams choose a topic, divide it into subtopics, and present it to the class. It fosters individual responsibility, cooperation, research, and peer evaluation of contributions and products.",Cooperative Learning Organization; Active Methodologies,metac_035; metac_061; metac_062
metac_021,Getting to Know Each Other,"## Objective

For the group members to get to know each other and exchange tastes, preferences, ideas, and opinions.

## Development
Each participant is given a worksheet with questions on various topics (personal aspects, hobbies, skills, opinions, etc.) to complete. To do this, they will have to ask other members of the group about these questions.

Find classmates who... Names

- Know how to play the guitar
- Went to the movies this weekend
- Have traveled to Paris before
- Like to collect things
- Don't have a cell phone
- Have a pet at home
- ...

Next, the activity will be evaluated with questions such as the following:

- Were you able to complete the table?

- Are there any questions you didn't like? - Have you discovered any new characteristics about any of your classmates?...

Conclusions

It's interesting to get to know the people we live with every day because it allows us to understand them better and cooperate in achieving common goals.

Source: ECO. (2007). Group Dynamics.

## Example

During the first week of class, the teacher gives students a worksheet with prompts such as: “Find someone who has a pet at home”, “Find someone who plays a sport”, “Find someone who can cook something simple” or “Find someone who read a book this summer”.

For a few minutes, students move around the classroom, ask their classmates questions and write names on the worksheet. Then the class shares what they found: each student mentions something they discovered about another person. The activity helps break the ice, encourages initial interaction and allows the group to find connections beyond the usual friendship groups.","group cohesion, personal knowledge, communication, questions","Cohesion and Cooperation, Communication and Creativity",,"A group activity in which participants seek partners who meet certain criteria or answer specific questions. It helps foster mutual understanding, build group cohesion, and improve interaction among students.",Cooperative Learning Organization,metac_002; metac_054; metac_089
metac_022,Compare and Contrast,"The Contrast and Compare thinking routine is a technique that can be used to help students improve their understanding and deepen their grasp of the concepts or facts they are studying. This routine can be applied at the beginning, during, or at the end of a topic, depending on the learning needs and objectives.

TEACHER:

1. Provide students with different sources of information on the topic they are studying, such as articles, books, or videos.

2. Ask students to read or watch the different sources of information and take notes on the key points they find.

3. Organize students into working groups and ask them to share their notes with the other group members.

4. Assign each group the task of comparing and contrasting the different sources of information. Ask them to look for similarities and differences between the sources and to reflect on why there are differences and how they affect their understanding of the topic.

5. Provide support and guidance to the groups as they complete the task. You can do this by asking students what similarities and differences they have found, or by providing feedback on the quality of their comparisons.

STUDENT:

1. Examine the different sources of information provided by the teacher.

1. Take notes on the key points you find in the sources.

1. Compare and contrast the different sources of information with the other members of the group. Look for similarities and differences between the sources, and reflect on why there are differences and how they affect your understanding of the topic.

1. Participate in group discussions and share your ideas and reflections on the comparisons and contrasts you have made.

1. Use your notes and reflections to improve your understanding of the topic.

1. Listen to the teacher's feedback and use it to improve the comparisons and contrasts you have made.

## Example
Objective: To improve students' understanding of the French Revolution

- Stage 1: Provide students with different sources of information about the French Revolution

- Magazine articles

- Textbooks

- History videos
- Stage 2: Ask students to read or watch the sources and take notes on the key points
- Stage 3: Organize students into working groups and ask them to share their notes
- Stage 4: Assign each group the task of comparing and contrasting the different sources of information

- Look for similarities and differences between the sources

- Reflect on why there are differences and how they affect understanding the topic
- Stage 5: Provide support and guidance to the groups as they complete the task

- Ask questions

- Provide feedback on the quality of the comparisons
- Outcome: Improved student understanding of the French Revolution and development of critical thinking and communication skills.","comparison, contrast, analysis, reading, critical thinking, feedback","Thinking Routines, Information Processing and Analysis, Critical Thinking and Metacognition",,"A routine in which students compare different sources, ideas, or phenomena, identifying similarities and differences. It serves to improve comprehension, develop critical thinking, and justify comparisons based on relevant evidence or information.",Active Methodologies,metac_113; metac_028; metac_004
metac_023,Learning Contract,"## Description
An explicit agreement between student and teacher regarding objectives, tasks, timelines, resources, and assessment criteria. It helps organize independent work and empowers students to take ownership of their learning process.

## Functioning
1. The learning objectives or achievements of the student are defined.

2. Tasks, deliverables, or evidence are agreed upon.

3. Deadlines and available resources are established.

4. Assessment and monitoring criteria are specified.

5. At the end, the student reviews their progress and reflects on the process.

## Objectives
- To foster autonomy and planning.

- To make work commitments visible.

- To improve self-regulation and formative assessment.

## Example
In a research project, each student agrees with the teacher on the research question, the sources to be consulted, the final product, and the deadlines for partial submissions.","autonomy, planning, monitoring, formative assessment, metacognition","Formative Assessment and Feedback, Critical Thinking and Metacognition",,"An agreement between student and teacher regarding objectives, tasks, resources, deadlines, and evaluation criteria. It serves to promote autonomy, planning, personal responsibility, and monitoring of one's own learning.",Educational Frameworks,metac_077; metac_030; metac_107
metac_024,Structured Academic Controversy,"OBJECTIVES: To improve understanding of different viewpoints on a topic, develop debate skills, and enhance argumentation and communication abilities.

METHOD

1. Divide the group into teams of four.

2. Each pair takes a position on a given topic, one defending one position and the other the opposing position.

3. Each pair researches information to support their position and presents it to the group.

4. After the presentations, the pairs switch positions and select the best arguments from the other pair to explore further and present them to the group, from the opposing viewpoint.

5. Finally, a synthesis of the best arguments for each position is created.

The idea is that, as the activity progresses, students will become aware of the complexity of the topic and be able to see the different perspectives surrounding it. Thus, instead of vehemently defending a position, they learn to argue more openly and consider different perspectives.

OBSERVATIONS AND PRACTICAL TIPS:

- It can be used at any point in the learning process, both to resolve doubts or problems and to review or delve deeper into a specific topic.

- It can be done orally or in writing, depending on the students' preferences or needs.

- It can be used for any topic or subject, as long as there are different points of view or opinions on it.

- The rules of debate must be established before starting the activity to ensure a respectful and productive discussion.

- It is recommended to create a final summary of the ideas presented by each team to facilitate understanding of the different points of view and further exploration of the topic.

Source: *Structuring Academic Controversy*, Johnson and Johnson, 1994 in Grup de recerca sobre aprenentatge entre iguals. (2016).

## Example

In a biology lesson, the teacher poses the question: “Should genetically modified organisms be allowed in agriculture?”. In each team of four, one pair prepares arguments in favor and the other pair prepares arguments against, using sources provided by the teacher.

First, each pair presents its position. Then the pairs switch sides and must defend the opposite position using the strongest arguments they have heard. At the end, the team produces a synthesis that includes benefits, risks, conditions for use and remaining questions.

The activity helps students understand the complexity of the issue and learn to argue without reducing the debate to a simple opposition between being for or against.","debate, argumentation, perspective, critical thinking, cooperation, synthesis","Activation of Prior Knowledge, Information Processing and Analysis, Problem Solving and Challenges, Critical Thinking and Metacognition, Formative Assessment and Feedback, Cohesion and Cooperation, Communication and Creativity",,"This technique involves students defending opposing viewpoints on a topic and then switching perspectives. It helps improve argumentation skills, understand the complexity of the issues debated, listen to opposing arguments, and develop balanced summaries.",Cooperative Learning Organization,metac_090; metac_042; metac_019
metac_025,Timed Pair Share,"1. The teacher proposes a topic and sets a specific time limit for each student to speak.

1. Students are paired up, and the time is divided equally between them.

1. Student A shares their thoughts on the topic while Student B actively listens and takes notes.

1. Once the allotted time is up, Student B shares their thoughts while Student A listens and takes notes.

1. After the exchange of ideas between the two students, they discuss their viewpoints and work on a synthesis of the ideas shared by both.

1. The teacher may guide the discussion and help clarify any points of view or conflicts that may arise.

1. Active participation and the quality of the ideas shared by both students are valued.

Sources:

- Clowes, G. (2011). The Essential 5: A Starting Point for Kagan Cooperative Learning
- Carolina, H. L. K., Tamara, O. L. M., & Wendy, S. (2016). Cooperative Learning at the University

## Example

1. The professor proposes the topic ""The Importance of the Oceans in the Planet's Climate.""

1. We set a time limit of 5 minutes for each student to speak.

1. Student A shares their opinion on the topic with student B, while B listens actively.

1. After 5 minutes, B shares their opinion on the topic with A, while A listens actively.

1. Once all the students have spoken, a brief summary of each pair's viewpoints is created.","couples, active listening, synthesis, participation, communication","Knowledge Building, Critical Thinking and Metacognition, Formative Assessment and Feedback, Cohesion and Cooperation",,"A cooperative structure in pairs with defined times for speaking and listening. This helps ensure balanced participation, improve active listening, share ideas, and develop a common synthesis based on the contributions of both students.",Cooperative Learning Organization,metac_095; metac_072; metac_083
metac_026,"CSI: Color, Symbol, Image","A Routine for Extracting the Essence of Nonverbal Ideas

## Purpose: What type of thinking does this routine foster?

This routine helps students identify and refine the essence of ideas from reading, explanations, or viewings, using a color, symbol, and image to represent them nonverbally.

## Application: Where and when can we use this routine?
This routine can be used to improve comprehension of a reading, explanation, or viewing. You can help students by initially using texts that clearly highlight the important ideas. Synthesis occurs when students select a color, symbol, and image to represent three ideas. This routine facilitates discussion of a text or events when students share the colors, symbols, or images.

## Method: How can we use this routine?

After reading a text, the teacher asks the class which ideas are the most interesting or relevant, and a list is written on the board.

The teacher selects one of these ideas and asks the students: *What color would you use to represent this idea?*

The teacher then selects another idea and asks: *What symbol could be used to represent this idea?* (Remind students that a symbol is a simple representation or drawing, like the dollar sign.)

The teacher then selects another idea and asks: *What image would you use to represent this idea?* (Remind students that an image is something visual or metaphorical, but more complex and developed than a symbol, for example, a banknote.)

CSI: COLOR, SYMBOL, IMAGE

A routine for extracting the essence of nonverbal ideas

| IDEA 1 | IDEA 2 | IDEA 3 |

**Color**
What color would you choose to represent this idea? |**Symbol**
What symbol would you choose to represent this idea? |**Image**
What image would you choose to represent this idea? |

COMMENTS

---

## Example of applying the CSI routine: Color, Symbol, Image

- Objective: To improve students' understanding of World War II
- Step 1: Provide students with information about World War II through readings and videos
- Step 2: Ask students to select three important ideas from the topic

- Example: The rise of Nazism, the attack on Pearl Harbor, the Allied victory

- Step 3: Ask students to choose a color, a symbol, and an image to represent each idea

- Example:

- The rise of Nazism: Red, Nazi flag symbol, image of Adolf Hitler

- The attack on Pearl Harbor: Blue, ship symbol, image of the burning American fleet

- The Allied victory: Green, United States flag symbol, image of soldiers celebrating victory

- Step 4: Ask students to share the colors, symbols, and images with the group

- Outcome: Improved understanding of the Students learn about World War II and develop their ability to synthesize information through the use of digital resources.

- Stage 5: Use the selected colors, symbols, and images to initiate discussions and reflect on the topic. You can ask questions such as:

- What does each color, symbol, and image represent to you?

- How are the different ideas related to the selected colors, symbols, and images?

- What are the implications of each idea for the world today?

This routine can be useful in helping students improve their understanding of a complex topic and develop critical thinking and reflection skills.","visual synthesis, creativity, communication, comprehension, reflection","Thinking Routines, Critical Thinking and Metacognition, Communication and Creativity",BoardLive: Collaborative whiteboard|https://boardlive.github.io/,"A routine in which students represent ideas using a color, a symbol, and an image. It helps to identify the essence of a topic, develop visual synthesis, stimulate creativity, and facilitate discussion about meanings.",Active Methodologies,metac_100; metac_097; metac_069
metac_027,Design Thinking,"## Description
An active methodology focused on solving problems through a people-centered creative process. It begins with understanding a need, generates ideas, builds prototypes, and tests them for improvement.

## Typical Phases
1. **Empathize**: Understand the people affected by the problem.

2. **Define**: Clearly formulate the need or challenge.

3. **Ideate**: Generate many possible solutions.

4. **Prototype**: Build a simple version of the solution.

5. **Test**: Gather feedback and improve the proposal.

## Objectives
- Develop creativity applied to real-world problems.

- Foster collaboration and decision-making.

- Learn to improve a solution based on testing and feedback.

## Example
In a digitalization class, students design a solution to improve the organization of tasks within the class group. They interview classmates, define needs, propose ideas, create a prototype of a digital template, and test it for a week.","design, empathy, prototyping, creativity, feedback, problem solving","Problem Solving and Challenges, Communication and Creativity, Cohesion and Cooperation, Formative Assessment and Feedback",Brainstorming and voting|https://jjdeharo.github.io/directo/ideas.html,"A methodology focused on solving problems through empathy, defining the challenge, ideation, prototyping, and testing. It helps develop applied creativity, teamwork, improvement through feedback, and solutions centered on people's needs.",Educational Frameworks; Active Methodologies,metac_046; metac_015; metac_064
metac_028,Detect Patterns,"The ""detect patterns"" thinking routine involves searching for and identifying relationships or patterns between different concepts or facts. This routine can be very useful in helping students better understand concepts and make connections with their existing knowledge. Here are some steps to effectively implement this routine:

TEACHER:

1. Select the concepts or facts you want students to analyze. You can do this at the beginning, during, or at the end of a topic, depending on your learning objectives.

2. Provide students with the information or data they need to complete the routine. This may include texts, images, data, or any other resources you think might be helpful.

3. Ask students to look for relationships or patterns among the concepts or facts they have studied. You can use guiding questions such as, ""What relationships do you see between these concepts?"", ""What patterns can be identified?"", etc.

4. Facilitate discussion among students and help them identify the patterns or relationships they have found. You can use techniques such as debate or open-ended questions to promote reflection.

STUDENT:

1. Read or study the information or data provided by your teachers.

1. Look for relationships or patterns among the concepts or facts you have studied. Use your critical thinking to analyze the information and make connections with your existing knowledge.

1. Discuss the patterns or relationships you have found with your classmates. Try to justify your ideas with examples or evidence.

1. Contribute new and original ideas to help identify more patterns or relationships. Use your creative thinking to generate new ideas or to see things from a different perspective.

1. Reflect on the patterns or relationships you have identified and consider their consequences or implications. What does this mean for you and others? How can you apply these relationships or patterns to other situations or problems?

1. Express your ideas clearly and coherently, using examples or evidence to support them. Try using different strategies to communicate your ideas, such as debate, oral presentations, or writing.

1. Listen carefully to your classmates' ideas and consider their contributions. Ask them questions to clarify any doubts or to obtain more information.

2. Summarize the most important ideas that emerged from the discussion and reflect on what you have learned. What relationships or patterns have you identified? What new ideas have you learned? How can you apply these ideas to other situations or problems?

## Example

In an applied mathematics lesson, the teacher gives students a table showing the monthly income and expenses of several fictional families. Students examine the data and look for patterns: which types of expenses increase when income rises, which expenses remain stable and which situations create a higher risk of deficit.

Then, in pairs, they formulate relationships such as: “When rent is more than one third of income, the probability of a negative budget increases” or “Variable expenses explain many differences between families with similar incomes”.

The activity ends with a discussion about how these patterns can help with decisions about saving, spending or financial planning.","patterns, analysis, relationships, critical thinking, communication","Thinking Routines, Information Processing and Analysis, Problem Solving and Challenges, Critical Thinking and Metacognition, Communication and Creativity",,"A routine in which students look for relationships or regularities between concepts, data, or facts. It serves to improve understanding, connect ideas, justify interpretations, and develop critical thinking through the identification of patterns.",Active Methodologies,metac_022; metac_064; metac_103
metac_029,Assessment Target,"## Description
A visual self-assessment or peer-assessment tool that allows for the evaluation of different criteria on a scale represented as a target. The closer to the center, the greater the degree of achievement or agreement.

## How it Works
1. The teacher defines the criteria to be assessed.

2. Each criterion occupies a sector of the target.

3. Students mark their level of achievement in each sector.

4. Perceptions are compared, marks are justified, and improvements are proposed.

5. It can be repeated at the beginning and end of a task to track progress.

## Objectives
- To facilitate a quick and visual evaluation.

- To promote reflection on several criteria simultaneously.

- To help formulate proposals for improvement.

## Example
After an oral presentation, each student evaluates clarity, mastery of the content, use of visual aids, and team participation. They then write a specific action for improvement.","self-assessment, peer assessment, criteria, feedback, visual","Formative Assessment and Feedback, Critical Thinking and Metacognition, Communication and Creativity",Rating scale|https://jjdeharo.github.io/directo/escala.html,"A visual self-assessment or peer-assessment tool that evaluates various criteria on a target. It serves to highlight the level of achievement, compare perceptions, justify assessments, and propose improvements.",Active Methodologies,metac_037; metac_122; metac_096
metac_030,Learning Journal,"A learning journal is a tool where students periodically record their experiences in the learning process. While it's most common for it to be some type of text document, there's no problem with it being audio (podcast) or video, as long as the timeframe for its creation is respected.

In this type of journal, students express the difficulties they encounter, what they like or dislike, problems they might have with classmates, etc.

You can suggest the following:

| Some questions to reflect on in the journal |

---|

**Questions you should always include**:

🤔 What have we done this week?

😓 Areas where I'm having the most difficulty.|

**More suggestions**:

Areas where I find things easier.

Aspects I had pending that I've been able to resolve since last week.

What doubts I have and what I can do to resolve them.

Aspects I liked more/less.

I have helped my classmates, or they have helped me.

Am I keeping up with my work?

…|

They can write it once a week, dedicating about 10-15 minutes to it.

Source: De Haro, J.J. (2022). Tools for the evaluation of individual learning logs and teamwork.

## Difficulties in completing the learning log

There are different obstacles that students may encounter when completing the learning log:

- Lack of time: completing the learning log may require some time each week, and students may find themselves under pressure from other commitments such as homework, extracurricular activities, etc. To overcome this obstacle, a routine can be established for completing the learning log each week, and consistency is key. Alternatively, a time of the week can be chosen when there is more free time to do it.

- Lack of motivation: Perhaps students don't see the usefulness of a learning journal and, therefore, aren't motivated to keep one. In this case, you can talk to the students about the benefits of a learning journal, such as the opportunity to reflect on their own learning, identify difficulties, and find solutions, etc. You can also monitor their learning journal entries with them to help them see the progress they are making.

- Difficulty expressing themselves: Perhaps students have difficulty expressing their ideas and reflections in writing. In this case, you can offer support to improve their writing skills, such as writing exercises or providing examples of learning journal entries. You can also consider the option of completing the learning journal orally or via video instead of in writing.

## Example of an entry

""This week we studied the unit on forces in Physics. At first, I found it a little difficult to understand the concept of force, but I finally grasped it thanks to my teacher's explanation and the exercises we did in class."" I also had difficulty solving the homework problems, but I asked my classmates and the teacher for help, and that's how I was able to solve them.

Of all the concepts in the unit, the practical problems were the most challenging. On the other hand, I understood the theoretical concepts very well. Even so, I still have some questions about how to apply friction in certain situations.

One of the things I enjoyed most this week was working as a team with my classmates to solve the problems. I also helped my classmates understand the unit's theoretical concepts.

I completed all the homework and reviewed the unit's concepts every day to be prepared for the assessments. I'm keeping up with my work.","learning journal, reflection, metacognition, monitoring, self-assessment","Critical Thinking and Metacognition, Formative Assessment and Feedback",,"This tool allows students to regularly record their learning experiences, difficulties, and progress. It promotes metacognition, work tracking, self-assessment, and awareness of their own learning process.",Active Methodologies,metac_040; metac_077; metac_074
metac_031,Digital Storytelling,"Digital storytelling involves combining narratives and digital content, including images, sound, and video, to create a short film, usually with strong emotional content (Educause, 2011). Seven Essential Elements of Digital Storytelling.

The planning and development of multimedia projects in the form of a story (digital storytelling, DST) seeks to leverage new digital technologies to enhance this educational resource. Originally, DST focused primarily on narratives of personal experiences in video format, with voiceovers or interviews, lasting less than 5 minutes. Currently, digital storytelling can also integrate narrative and informational resources, typical of a more documentary-style genre.

Digital stories can be created by teachers, but with appropriate guidance, students can also create them (for more details, see 8 Steps to Implement Storytelling in the Classroom).

---

Source: Digital Storytelling in De Haro, J.J. (2022). Open ICT Tools and Services for Education.

## Example

In a biology unit on infectious diseases, students create a three-minute digital story titled “The Journey of a Virus”. Each team chooses a point of view: an infected cell, a sick person, the immune system or a medical team.

The final product combines a short narration, images, simple diagrams, music or sound effects and a scientific conclusion. The teacher asks the story to include concepts such as transmission, immune response, prevention and treatment. When presenting it, each group explains the narrative choices they made and the scientific content they wanted to communicate.","digital storytelling, communication, creativity, project, multimedia","Knowledge Building, Communication and Creativity",,"This activity involves students creating digital stories by combining narration, images, audio, or video. It serves to communicate learning, develop creativity, organize information, and produce multimedia materials with expressive or explanatory intent.",Active Methodologies,metac_100; metac_014; metac_097
metac_032,Roundtable,"TEAM SIZE: Base team.

OBJECTIVES: To activate prior knowledge, generate new ideas based on existing ones, and assess comprehension of content.

STEPS:

1. The teacher assigns a task to the base teams (a word list, writing a story, what they know about a specific topic to assess their prior knowledge, a sentence summarizing a key idea from a text they have read, etc.).

1. One student in the team begins writing their answer on a sheet of paper and then passes it to the next student, rotating clockwise.

1. The next student writes their answer, adding new information to enrich the work. When finished, they pass it to the next student.

1. The sheet of paper continues to rotate until everyone has participated in the task, and as many times as necessary, until time runs out.

OBSERVATIONS AND PRACTICAL TIPS:
Remember that while one team member is writing their part, the others must pay attention, help, and correct them. It is also possible to carry out the activity silently. This way, the teacher can explore each member's contribution to the group (using different colors when writing).

To make the activity dynamic, establish a quick rotation, perhaps even using a timer.

Ask students to each write with a different color; this way, their contributions can be easily distinguished.

A small whiteboard can be used instead of a sheet of paper. Introduce materials that add novelty to the activity.

Observe the contributions of each team member.

Source: Pérez, M. (2015). Cooperative Dynamics.

---

**Explanation of the technique:**

## Example

In a language lesson, the teacher asks each team to write a short story based on an image. The first student writes the beginning of the story for one minute and passes the sheet to the classmate on the right. The second student continues the narration, the third introduces a conflict and the fourth proposes an ending.

In a second round, each student revises or improves one aspect of the text: vocabulary, coherence, connectors or spelling. At the end, the team reads the story and comments on each member’s contribution. The technique ensures that everyone participates and makes it possible to build a shared product through successive contributions.","activation of prior knowledge, cooperation, synthesis, participation, writing","Activation of Prior Knowledge, Information Processing and Analysis, Formative Assessment and Feedback, Cohesion and Cooperation",,"A cooperative structure in which a sheet of paper circulates among the team and each member adds a contribution. It serves to activate prior knowledge, generate ideas, build collective responses, and encourage everyone's participation.",Cooperative Learning Organization,metac_088; metac_048; metac_033
metac_033,Word Game,"1. The teacher writes several key words on the board about the topic being studied or recently completed.
1. In each base team, students write a sentence using one of the key words, or express the idea behind that word. To make the sentences easy to handle, they write them on small pieces of paper.
1. Then, following a set order, each student shows the sentence to the team. The other members correct it, refine it and complete it. In this way, the sentence becomes a collective sentence from the whole team, not only from the student who wrote it first.
1. Next, the team arranges the sentences on the table according to a logical criterion, creating a summary outline or concept map of the topic.
1. Once the teacher approves the order, the sentences are numbered and copied neatly, usually in pairs, so that every team member has a copy.

Criteria to promote participation and interaction:

- The key words may be the same for all teams, or each base team may have a different list. The sentences or ideas built from the key words represent a synthesis of the topic studied.
- Teams may decide which word each member will use, or the teacher may assign them. Students who need more support should receive words that make it easier to write a sentence.
- In later uses of the structure, a different student can start the correction round each time.
- When pairs copy the sentences neatly, they can take turns: one writes while the other dictates and checks accuracy.

Adapted from Pujolàs, P. & Lago, J. R. (2011). The CA/AC program for learning cooperatively.

## Example
The teacher writes key words such as “communication”, “leadership”, “team” and “conflict resolution”. Each student writes a sentence with one word, the team revises it, and finally they organize the sentences into a shared outline or concept map.","keywords, synthesis, concept map, cooperation, understanding","Information Processing and Analysis, Problem Solving and Challenges, Cohesion and Cooperation, Communication and Creativity",Word cloud|https://jjdeharo.github.io/directo/nube.html,"This technique involves students creating sentences from keywords and then organizing them into a diagram or map. It serves to review content, develop summaries, build shared meaning, and strengthen cooperation.",Cooperative Learning Organization,metac_063; metac_032; metac_069
metac_034,5E Instructional Model,"## Description
An instructional model that organizes an active learning sequence into five phases. It is especially common in science and inquiry-based learning, but it can be applied to many subjects when the aim is to combine curiosity, exploration, explanation, application and assessment.

## Phases
1. **Engage**: spark interest, introduce an initial situation and activate prior knowledge.
2. **Explore**: investigate, observe, manipulate data or materials and develop initial explanations.
3. **Explain**: organize ideas, introduce formal concepts and build a shared explanation.
4. **Elaborate**: apply learning in new contexts, problems or transfer tasks.
5. **Evaluate**: collect evidence, review understanding and provide feedback during and at the end of the process.

## How it works
1. Design a sequence that starts with a motivating question, phenomenon or challenge.
2. Students explore before receiving the full formal explanation.
3. The teacher helps organize ideas and connect experience with concepts.
4. New situations are proposed to apply and transfer learning.
5. Assessment is integrated throughout the sequence.

## Objectives
- Structure active learning sequences.
- Activate prior knowledge and promote inquiry.
- Support application, transfer and formative assessment.

## Complete example
Topic: **What do seeds need to germinate?**

1. **Engage**: the teacher shows two pots, one with germinated seeds and another with seeds that have not germinated. The teacher asks: “If both pots had seeds, why did they germinate in one pot but not in the other?”. Students write their initial ideas about the role of water, light, temperature and soil type.
2. **Explore**: in teams, students design and carry out a small investigation. They place seeds under different conditions: with water and without water, with light and without light, in a cold place and at room temperature. They observe changes over several days and record data in a table.
3. **Explain**: each team shares its results. Based on the observations, the class builds an initial explanation. Then the teacher introduces the concepts of germination, necessary conditions, control of variables and experimental evidence.
4. **Elaborate**: students apply what they have learned to a new situation: designing recommendations for germinating seeds in a school garden or explaining why some seeds stored at home do not germinate. They must justify their proposals using data from the experiment.
5. **Evaluate**: students review their initial ideas, compare what they thought before with what they can now explain, complete a short self-assessment and submit an evidence-based conclusion. The teacher assesses the quality of the experimental design, the use of data and the final explanation.","5E model, inquiry, prior knowledge, application, formative assessment, cooperation","Activation of Prior Knowledge, Information Processing and Analysis, Knowledge Building, Problem Solving and Challenges, Critical Thinking and Metacognition, Formative Assessment and Feedback, Cohesion and Cooperation, Communication and Creativity",,"A teaching model based on the phases of engaging, exploring, explaining, elaborating, and evaluating. It serves to structure active learning sequences, activate prior knowledge, promote inquiry, apply concepts, and evaluate throughout the process.",Educational Frameworks,metac_008; metac_011; metac_051
metac_035,Jigsaw,"This technique is especially useful for areas of knowledge where the content can be broken down into different parts (for example: literature, social sciences, natural sciences, etc.). In short, the development or implementation of this technique involves the following steps:

- Divide the class into heterogeneous groups of 4 or 5 members each.

- The study material is divided into as many parts as there are members in the group, so that each member receives a fragment of the information on the topic that all the groups are studying together, and does not receive the information that has been made available to their classmates to prepare their own subtopic.

- Each member of the group prepares their part based on the information provided by the teacher or the information they have found themselves. - Next, with the members of the other teams who have studied the same subtopic, they form an ""expert group,"" where they exchange information, delve deeper into key concepts, build diagrams and concept maps, clarify any doubts, etc.; we could say they become experts in their section.

- Then, each of them returns to their original team and is responsible for explaining their prepared part to the group.

Thus, all the students need each other and are ""obliged"" to cooperate, because each of them only has one piece of the puzzle, and their teammates have the others, essential for successfully completing the proposed task: the overall mastery of a previously fragmented subject of study.

Flippity has a special function for this technique. In the *Random Name Picker* option, once the groups are formed, you will see a puzzle piece. This will create groups made up of one member from each of the initial teams (the expert groups). If we press the same button again, the original groups will reappear.
Formation of groups with 3 members each:

Pressing the button will create the “expert groups,” with one member from each of the previous groups.

---
Source: Pérez, M. (2015). Cooperative Dynamics.

---

**Explanation of the technique:**

## Example

In a unit on the digestive system, the teacher divides the content into four sections: mouth and esophagus, stomach, small intestine and large intestine. In each home team, each student receives a different section and prepares it using a text, a diagram and an image.

Then all students with the same section meet in expert groups to resolve questions, agree on the essential ideas and prepare a clear explanation. After that, they return to their home team and explain their part to the others.

The team completes a general diagram of the digestive process, linking the phases to one another and explaining what happens to food in each one. The task can only be finished if all members contribute their piece correctly.","puzzles, experts, cooperation, reading, synthesis","Cohesion and Cooperation, Information Processing and Analysis",GeCo - Cooperative Team Generator|https://jjdeharo.github.io/geco/,"A cooperative learning technique in which each student works on a part of a topic and then teaches it to their team. It helps to foster positive interdependence, individual responsibility, reading comprehension, and shared synthesis.",Cooperative Learning Organization; Active Methodologies,metac_020; metac_061; metac_116
