Technique,Description,Tags,Fields,Program
Cadena de Preguntes,"Es tracta d'una estructura apta per repassar el tema o temes treballats fins al moment i preparar l'examen o simplement per fer una avaluació formativa i comprovar fins a quin punt s'han aconseguit els objectius previstos, i rectificar o ajustar, si cal, la programació.

1. Durant tres minuts aproximadament cada equip pensa una pregunta sobre el tema o els temes estudiats fins al moment, que plantejarà l'equip que hi ha al seu costat, seguint un ordre determinat (per exemple, la direcció de les agulles del rellotge). Es tracta de preguntes fonamentals (que considerin que podrien sortir en un examen) sobre qüestions treballades a classe, pensades per ajudar la resta d'equips.
1. Passats els tres minuts, el portaveu d'un equip planteja la pregunta a l'equip següent, el qual la respon, i tot seguit el portaveu d'aquest equip fa una pregunta a l'equip que ve a continuació, i així successivament fins que l'últim equip fa la pregunta al primer equip que hi ha intervingut, a qui ha començat la “cadena de preguntes”.
1. Acabada la primera ronda, es deixen tres minuts més per pensar noves preguntes, passats els quals s'iniciarà una nova cadena, però en direcció contrària: cada equip fa la pregunta a l'equip que a la primera ronda els havia fet la pregunta a ells.

- Cada equip té dos portaveus: un per fer la pregunta que han pensat entre tots i un altre per donar la resposta que han pensat entre tots.

- Si una pregunta ja ha estat plantejada amb anterioritat, no es pot repetir i salta l'equip que l'havia plantejada.

Font: Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.

---

## Exemple
 El professor de biologia ha estat treballant els conceptes de la circulació sanguínia amb els seus alumnes. Per comprovar els coneixements dels estudiants i preparar-los per a l'examen, decideix fer servir l'estructura de cadena de preguntes.

1. El professor divideix la classe en quatre equips i explica les regles de l'activitat. Cada equip té tres minuts per pensar una pregunta sobre la circulació sanguínia que plantejarà al següent equip.
1. Una vegada passats els tres minuts, el portaveu de l'equip A planteja la seva pregunta a l'equip B, que la respon i, a continuació, planteja una pregunta a l'equip C. Així successivament fins que l'últim equip, l'equip D, fa la pregunta a l'equip A.
1. Un cop acabada la primera ronda, es deixen tres minuts més per  pensar noves preguntes, i es comença una segona ronda en direcció contrària: l'equip D fa la pregunta a l'equip A, que la respon i planteja una pregunta a l'equip B, i així successivament fins que l'últim equip, l'equip C, fa la pregunta a l'equip D.

1. Al final de l'activitat, el professor fa un resum dels coneixements dels estudiants i determina quines àrees necessiten més treball. També fa una revisió dels conceptes clau de la circulació sanguínia per assegurar que tots els alumnes els han entès de manera adequada.","activació, autoavaluació, avaluació, avaluació formativa, cadena, coavaluació, coneixements previs, equip, estructura, estudiants, feedback, idees prèvies, pregunta, preguntes, professor, recordar, repassar, seguiment","Avaluació Formativa i Feedback, Activació de coneixements previs",
Cercle de punts de vista,"Una rutina per explorar altres perspectives

## Finalitat: Quin tipus de pensament fomenta aquesta rutina?
Aquesta rutina ajuda els alumnes a considerar diferents perspectives sobre un tema. Entendre que les persones pensen i senten de manera diferent és la clau d'un ideal de justícia.

## Aplicació: On i quan podem fer servir aquesta rutina?

Aquesta rutina es pot utilitzar al principi d'una unitat per ajudar els alumnes a trobar noves perspectives sobre el tema, imaginar diferents personatges, temes i preguntes que hi estan connectades. També es pot fer servir després de llegir el capítol d'un llibre. És motivador provocar diferents temes; es treballa molt bé aquesta rutina quan els alumnes busquen aspectes que són blancs i negres. També es pot fer servir per obrir discussions sobre algun dilema.

## Mètode: Com podem utilitzar aquesta rutina?
Després d'identificar un tema, els alumnes fan una pluja d'idees sobre diferents perspectives que hi pot haver. Es pot ajudar els alumnes amb aquestes preguntes:
Com es veu des de diferents punts a l'espai i des de diferents punts en el temps? Qui i què en queda afectat? Qui hi està involucrat? A qui el pot preocupar? Després de la pluja d'idees, cada alumne escull un punt de vista. Cal donar-los temps per preparar què poden dir sobre el tema des d'aquesta perspectiva, per encarnar el punt de vista utilitzant aquestes preguntes i per estructurar allò que diu el personatge.
<br><br>

CERCLE DE PUNTS DE VISTA

---

**PENSO DES DEL PUNT DE VISTA DE **...

---
**PENSO** ... <br><br><br><br><br>

---

**CONCLUSIONS**<br> Quines noves idees tens sobre el tema que abans no tenies? Quines noves preguntes tens?
<br><br><br><br><br><br>

---","alumnes, cercle, cohesió, col·laboració, cooperació, diferents, dinàmica de grup, metacognició, pensament, pensament crític, perspectiva, perspectives, preguntes, punts, reflexió, rutina, rutina de pensament, treball en equip, vista","Pensament Crític i Metacognició, Cohesió i Cooperació",
CO-OP CO-OP,"Aquest mètode consisteix a estructurar la classe perquè els estudiants treballin en equips amb l'objectiu d'aconseguir una fita que ajudi els altres estudiants. 

1. En primer lloc, es fa una introducció als temes per estimular la participació.

1. En segon lloc, són els mateixos estudiants els que **trien lliurement els temes** que consideren més rellevants i cada equip en treballa un. 

1. Dins l'equip es treballa dividint el tema en **subtemes** que són desenvolupats per cadascun dels components
1. Cadascun dels membres després haurà d'aportar els seus coneixements a la resta del grup.

1. Finalment el grup prepara el seu tema i el presenta a la resta de la classe.

L'avaluació té lloc a tres nivells: coavaluació de la presentació en grup, coavaluació de les contribucions individuals al grup i avaluació del material produït pel grup.

Adaptat de: Grup de recerca sobre aprenentatge entre iguals. (2019). Métodos de aprendizaje cooperativo i Orientación Andújar. (2015). Actividades para fomentar al aprendizaje cooperativo.

---

## Un exemple d'aplicació de l'activitat cooperativa CO-OP CO-OP

1. El professor fa una introducció als temes de l'unitat d'aprenentatge, com per exemple la història de l'art contemporani.

1. Els alumnes formen equips i trien lliurement els temes que consideren més rellevants per aprofundir, com per exemple el surrealisme o el pop art.

1. Dins de cada equip, els estudiants divideixen el tema seleccionat en subtemes i cada component del grup treballa un subtema diferent, com per exemple la vida i l'obra de Salvador Dalí o la influència de la publicitat en l'art pop.

1. Cada membre de l'equip aporta els seus coneixements al grup i es discuteixen les diferents perspectives i interpretacions.

1. Finalment, cada equip prepara la presentació del seu tema per a la resta de la classe, amb imatges, exemples i explicacions detallades.

- L'avaluació té lloc a través de la coavaluació de la presentació en grup, on cada estudiant valora la participació i la contribució dels altres membres del grup. 
- També es fa una coavaluació de les contribucions individuals al grup, on cada estudiant valora la seva pròpia participació i aportació. 
- Finalment, es valora el material produït pel grup, com ara les notes, les imatges o els esquemes utilitzats en la presentació.
","aprenentatge, autoavaluació, avaluació, avaluació formativa, coavaluació, cohesió, col·laboració, cooperació, dinàmica de grup, equip, estudiants, feedback, grup, lloc, metacognició, pensament crític, perspectiva, professor, reflexió, rutina de pensament, seguiment, temes, treball en equip","Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació",
Coneguem-nos,"## Objectiu

Que les persones del grup es coneguin i intercanviïn gustos, preferències, idees i opinions.

## Desenvolupament
 S'entrega a cada participant una fitxa amb preguntes sobre diversos temes (aspectes personals, aficions, habilitats, opinions...) perquè la completi. Per això haurà de preguntar sobre aquestes qüestions a les persones del grup.

Busca companyes i companys que ... Noms

- Sàpiguen tocar la guitarra
- Aquest cap de setmana hagin anat al cinema
- Hagin viatjat alguna vegada a París
- Els agradi col·leccionar coses
- No tinguin telèfon mòbil
- Tinguin algun animal a casa
- ...

A continuació, es farà una valoració de l'activitat amb preguntes com ara les següents:

- Heu aconseguit completar la taula?
- Hi ha alguna pregunta que no us hagi agradat?
- Heu descobert alguna nova característica d'algun company o companya?...

Conclusions

És interessant conèixer les persones amb qui convivim dia a dia perquè així les podem comprendre millor i cooperar en la consecució d'objectius comuns.

Font: ECO. (2007). Dinámicas para hacer grupo.","alguna, cohesió, col·laboració, coneguem, cooperació, dinàmica de grup, grup, hagin, opinions, persones, preguntes, tinguin, treball en equip",Cohesió i Cooperació,
Contrasta i compara,"La rutina de pensament ""Contrasta i compara"" és una tècnica que es pot fer servir per ajudar als alumnes a millorar la seva comprensió i aprofundiment en els conceptes o fets que estan estudiant. Aquesta rutina es pot aplicar tant al començament d'un tema com durant o al finalitzar-lo, depenent de les necessitats i objectius de l'aprenentatge.

PROFESSOR:

1. Proporciona als alumnes diferents fonts d'informació sobre el tema que estan estudiant, com ara articles, llibres o vídeos.

1. Demana als alumnes que llegeixin o vegin les diferents fonts d'informació i que prenguin notes sobre els punts clau que trobin.

1. Organitza els alumnes en grups de treball i demana que comparteixin les seves notes amb els altres membres del grup.

1. Assigna a cada grup la tasca de comparar i contrastar les diferents fonts d'informació. Demana que busquin similituds i diferències entre les fonts, i que reflexionin sobre per què hi ha diferències i com afecten la comprensió del tema.

1. Proporciona suport i guia als grups mentre realitzen la tasca. Pots fer-ho preguntant als alumnes quines són les similituds i diferències que han trobat, o proporcionant feedback sobre la qualitat de les comparacions que han fet.

ALUMNE:

1. Examineu les diferents fonts d'informació que el professor ha proporcionat.

1. Prengueu notes sobre els punts clau que trobeu en les fonts.

1. Compareu i contrasteu les diferents fonts d'informació amb els altres membres del grup. Busqueu similituds i diferències entre les fonts, i reflexioneu sobre per què hi ha diferències i com afecten la comprensió del tema.

1. Participeu en les discussions amb el grup i compartiu les idees i reflexions sobre les comparacions i contrastos que heu fet.

1. Utilitzeu les notes i les reflexions que heu fet per millorar la comprensió del tema.

1. Escolteu el *feedback* del professor i utilitzeu-lo per millorar les comparacions i contrastos que heu fet.

## Exemple
Objectiu: Millorar la comprensió dels alumnes sobre la Revolució Francesa

- Etapa 1: Proporcionar als alumnes diferents fonts d'informació sobre la Revolució Francesa
  - Articles de revistes
  - Llibres de text
  - Vídeos d'història
- Etapa 2: Demanar als alumnes que llegeixin o vegin les fonts d'informació i que prenguin notes sobre els punts clau
- Etapa 3: Organitzar els alumnes en grups de treball i demanar que comparteixin les seves notes
- Etapa 4: Assignar a cada grup la tasca de comparar i contrastar les diferents fonts d'informació
  - Buscar similituds i diferències entre les fonts
  - Reflexionar sobre per què hi ha diferències i com afecten la comprensió del tema
- Etapa 5: Proporcionar suport i guia als grups mentre realitzen la tasca
  - Fer preguntes
  - Proporcionar *feedback* sobre la qualitat de les comparacions
- Resultat: Millora de la comprensió dels alumnes sobre la Revolució Francesa i desenvolupament d'habilitats de pensament crític i comunicació.","anàlisi, compara, comprensió, contrasta, feedback, fonts, grup, informació, lectura, metacognició, pensament, pensament crític, perspectiva, professor, reflexió, resum, rutina, rutina de pensament, sintesi","Processament i Anàlisi de la informació, Pensament Crític i Metacognició",
Controvèrsia acadèmica,"OBJECTIUS: Millorar la comprensió dels diferents punts de vista sobre un tema, desenvolupar habilitats de debat, millorar les capacitats d'argumentació i de comunicació.

MÈTODE

1. Es divideix el grup en equips de quatre persones.
1. Cada parella es posiciona sobre un tema determinat, una defensant una posició i l'altra la posició contrària.
1. Cada parella busca informació per argumentar la seva posició i la presenta al grup.
1. Després de les exposicions, les parelles canvien de posició i seleccionen els millors arguments de l'altra parella per aprofundir en ells i presentar-les al grup, en la posició contrària a la que defensaven abans.
1. Finalment, es fa una síntesi dels millors arguments per a cada posició.

La idea és que, a mesura que avança l'activitat, els estudiants es vagin adonant de la complexitat del tema i puguin veure les diferents perspectives que hi ha al voltant d'ell. Així, en lloc de defensar una posició de manera aferrissada, aprenen a argumentar de manera més oberta i a tenir en compte les diferents perspectives.


OBSERVACIONS I CONSELLS PRÀCTICS:

- Es pot fer servir en qualsevol moment del procés d'aprenentatge, tant per resoldre dubtes o problemes com per repassar o aprofundir en un tema determinat.

- Es pot fer de forma oral o per escrit, depenent de les preferències o necessitats dels estudiants.

- Es pot utilitzar per a qualsevol tema o matèria, sempre que hi hagi diferents punts de vista o opinions sobre ell.

- Cal establir les normes de debat abans de començar l'activitat, per tal de garantir una discussió respectuosa i productiva.

- Es recomana fer una síntesi final de les idees exposades per cada equip, per tal de facilitar la comprensió dels diferents punts de vista i l'aprofundiment en el tema.

Font: *Structuring Academic Controversy*, Johnson i Johnson, 1994 en Grup de recerca sobre aprenentatge entre iguals. (2016).

","acadèmica, activació, anàlisi, aplicació, aprenentatge, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comprensió, comunicació, coneixements previs, controvèrsia, cooperació, creativitat, decisió, dinàmica de grup, estudiants, expressió, feedback, grup, idees prèvies, informació, lectura, metacognició, originalitat, parelles, pensament crític, perspectiva, posició, presentació, problemes, recordar, reflexió, repassar, reptes, resum, rutina de pensament, seguiment, sintesi, solució, treball en equip, visual","Activació de coneixements previs, Processament i Anàlisi de la informació, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
"Cronometrat, Parella, Comparteix (Timed, Pair, Share)","1. El professor proposa un tema i marca un temps determinat per a cada intervenció.
1. Es formen parelles d'estudiants i es distribueixen el temps de manera equitativa entre ells.
1. L'estudiant A comparteix els seus pensaments sobre el tema mentre l'estudiant B escolta de manera activa i pren notes.
1. Una vegada finalitzat el temps assignat, l'estudiant B comparteix els seus pensaments mentre l'estudiant A escolta i pren notes.
1. Després de l'intercanvi d'idees entre ambdós estudiants, es discuteixen els punts de vista i es treballa en una síntesi de les idees compartides per ambdós.
1. El professor pot guiar la discussió i ajudar a aclarir els punts de vista o conflictes que puguin sorgir.
1. Es valora la participació activa i la qualitat de les idees compartides per ambdós estudiants.

Fonts:

- Clowes, G. (2011). The Essential 5: A Starting Point for Kagan Cooperative Learning
- Carolina, H. L. K., Tamara, O. L. M., & Wendy, S. (2016). Aprendizaje cooperativo en la universidad

## Exemple

1. El professor proposa el tema ""La importància dels oceans en el clima del planeta"".
1. Marquem un temps de 5 minuts per a cada intervenció.
1. L'estudiant A comparteix amb l'estudiant B la seva opinió sobre el tema, mentre B escolta de manera activa.
1. Després de 5 minuts, B comparteix amb A la seva opinió sobre el tema, mentre A escolta de manera activa.
1. Un cop finalitzades les intervencions, es fa una breu síntesi dels punts de vista de cada parella.","autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comparteix, construcció, cooperació, cronometrat, descobriment, dinàmica de grup, estudiants, feedback, hipòtesi, investigació, metacognició, pair, parella, pensament crític, perspectiva, professor, reflexió, rutina de pensament, seguiment, share, teorització, timed, treball en equip","Construcció de coneixement, Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació",
"CSI: Color, Símbol, Imatge","Una rutina per extreure l'essència de les idees no verbals

## Finalitat: Quin tipus de pensament fomenta aquesta rutina?

Aquesta rutina ajuda els alumnes a identificar i depurar l'essència de les idees de la lectura, l'explicació o el visionament, de manera no verbal usant un color, un símbol i una imatge per representar-les.

## Aplicació: On i quan podem fer servir aquesta rutina?
Aquesta rutina es pot fer servir per millorar la comprensió d'una lectura, una explicació o un tema visionat. Podeu ajudar els alumnes si les primeres vegades es fan amb textos que tinguin ben destacades les idees importants. La síntesi passa quan els alumnes seleccionen un color, símbol i imatge per representar tres idees. Aquesta rutina facilita la discussió d'un text o d'esdeveniments quan els alumnes comparteixen els colors, els símbols o les imatges.

## Mètode: Com podem utilitzar aquesta rutina?

Després de llegir un text, el professor pregunta a la classe quines idees són les més interessants o rellevants i es fa una llista a la pissarra.

El professor selecciona una d'aquestes idees i demana als alumnes: *quin color utilitzaries per representar aquesta idea? *

Selecciona una altra idea i pregunta: *quin símbol es podria utilitzar per representar aquesta idea?* (recordar als alumnes que el símbol és una representació o dibuix senzill, com ara el símbol del dòlar)

Selecciona una altra idea i pregunta: *quina imatge usaries per representar aquesta idea? *(recordar als alumnes que una imatge és una cosa visual o metafòrica, però que és més complexa i més desenvolupada que un símbol, per exemple el bitllet).

CSI: COLOR, SÍMBOL, IMATGE

Una rutina per extreure l'essència de les idees no verbals

| IDEA 1 |IDEA 2 | IDEA 3 |
|**Color**<br>Quin color triaries per representar aquesta idea?  |**Símbol**<br>Quin símbol triaries per representar aquesta idea?|**Imatge**<br>Quina imatge triaries per representar aquesta idea? |
 


COMENTARIS

<br><br><br><br><br><br>


---

## Exemple d'aplicació de la rutina CSI: Color, Símbol, Imatge

- Objectiu: Millorar la comprensió dels alumnes sobre la Segona Guerra Mundial
- Etapa 1: Proporcionar als alumnes informació sobre la Segona Guerra Mundial a través de lectures i vídeos
- Etapa 2: Demanar als alumnes que seleccionin tres idees importants del tema
  - Exemple: L'expansió del nazisme, l'atac a Pearl Harbor, la victòria dels Aliats
- Etapa 3: Demanar als alumnes que triïn un color, un símbol i una imatge per representar cada idea
  - Exemple:
    - L'expansió del nazisme: Color vermell, símbol de bandera nazi, imatge de Adolf Hitler
    - L'atac a Pearl Harbor: Color blau, símbol de barca, imatge de la flota nord-americana en flames
    - La victòria dels Aliats: Color verd, símbol de bandera dels Estats Units, imatge de soldats celebrant la victòria
- Etapa 4: Demanar als alumnes que comparteixin els colors, símbols i imatges amb el grup
- Resultat: Millora de la comprensió dels alumnes sobre la Segona Guerra Mundial i desenvolupament de la capacitat de síntesi dels alumnes a través de l'ús de elements visuals.

- Etapa 5: Fer servir els colors, símbols i imatges seleccionats per obrir discussions i reflexionar sobre el tema. Pots fer preguntes com:
  - Què representa cada color, símbol i imatge per a tu?
  - Com estan relacionades les diferents idees amb els colors, símbols i imatges seleccionats?
  - Quines són les implicacions de cada idea per al món actual?

Aquesta rutina pot ser útil per ajudar als alumnes a millorar la comprensió d'un tema complex i a desenvolupar habilitats de pensament crític i reflexió.
","alumnes, color, comunicació, creativitat, expressió, idea, imatge, metacognició, originalitat, pensament, pensament crític, perspectiva, presentació, professor, reflexió, rutina, rutina de pensament, símbol, visual","Pensament Crític i Metacognició, Comunicació i Creativitat",
Detecta patrons,"La rutina de pensament ""detecta patrons"" consisteix en buscar i identificar relacions o patrons entre diferents conceptes o fets. Aquesta rutina pot ser molt útil per ajudar als alumnes a comprendre millor els conceptes i a fer connexions amb els coneixements que ja han adquirit. A continuació, et dono una sèrie de passos per fer aquesta rutina de forma efectiva:

    PROFESSOR:

1. Selecciona els conceptes o fets que vols que els alumnes analitzin. Pots fer-ho al principi, durant o al final d'un tema, depenent de quins objectius vols assolir.

1. Proporciona als alumnes la informació o les dades que necessiten per fer la rutina. Això pot incloure textos, imatges, dades o qualsevol altre recurs que creguis que pot ser útil.

1. Demana als alumnes que busquin relacions o patrons entre els conceptes o fets que han estudiat. Pots fer servir preguntes orientatives com ara ""quines relacions veus entre aquests conceptes?"", ""quins patrons es poden identificar?"", etc.

1. Facilita la discussió entre els alumnes i ajuda a identificar els patrons o les relacions que han trobat. Pots fer servir tècniques com ara el debat o les preguntes obertes per promoure la reflexió.

    ALUMNE:

1. Llegeix o estudia la informació o les dades que t'han proporcionat els professors.

1. Busca relacions o patrons entre els conceptes o fets que has estudiat. Utilitza el teu pensament crític per analitzar la informació i fer connexions amb els coneixements que ja tens.
1. Discuteix amb els teus companys de classe els patrons o les relacions que has trobat. Prova de justificar les teves idees amb exemples o evidències.

1. Aporta idees noves i original per ajudar a identificar més patrons o relacions. Utilitza el teu pensament creatiu per generar noves idees o per veure les coses des d'un punt de vista diferent.

1. Reflexiona sobre els patrons o les relacions que has identificat i considera les seves conseqüències o implicacions. Què significa això per a tu i per als altres? Com pots aplicar aquestes relacions o patrons a altres situacions o problemes?

1. Expressa les teves idees de manera clara i coherent, fent servir exemples o evidències per justificar-les. Prova de fer servir diferents estratègies per comunicar les teves idees, com ara el debat, la presentació oral o l'escriptura.

1. Escolta atentament les idees dels teus companys de classe i considera les seves aportacions. Pregunta'ls per aclarir qualsevol dubte o per obtenir més informació.

1. Fes un resum de les idees més importants que han sorgit de la discussió i reflexiona sobre el que has après. Quines relacions o patrons has identificat? Quines idees noves has après? Com pots aplicar aquestes idees a altres situacions o problemes?
","anàlisi, aplicació, comprensió, comunicació, conceptes, creativitat, decisió, detecta, expressió, idees, informació, lectura, metacognició, originalitat, patrons, pensament, pensament crític, perspectiva, presentació, problemes, reflexió, relacions, reptes, resum, rutina, rutina de pensament, sintesi, solució, visual","Processament i Anàlisi de la informació, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Comunicació i Creativitat",
Diari d'aprenentatge,"Un diari d’aprenentatge és un objecte on l’alumnat enregistra periòdicament les seves expe­riències en el procés d’aprenentatge. Tot i que el més habitual és que sigui alguna mena de docu­ment amb text, no hi ha cap inconvenient en què estigui format per àudio (pòdcast) o vídeo, sempre que es res­pecti el marc temporal en la seva construcció.

En un diari d’aquest tipus, l’alumnat expressa les dificultats que té, allò que més o menys li agrada, els problemes que pot tenir amb els companys, etc. 

Se'ls pot proposar fer el següent:

|Algunes qüestions per reflexionar al diari|h
|**Qüestions que heu de posar sempre**:<br><br>🤔 Què hem fet aquesta setmana?<br>😓 Aspectes on tinc més dificultats.|
|**Més suggeriments**:<br><br>Aspectes on tinc més facilitat.<br>Aspectes que tenia pendents i que he pogut resoldre des de la setmana passada.<br>Quins dubtes tinc i què puc fer per resoldre’ls.<br>Aspectes que més/menys m’han agradat.<br>He ajudat als companys o m’han ajudat ells.<br>Porto el meu treball al dia?<br>…|

El poden escriure una vegada per setmana dedicant-li uns 10-15 minuts.



Font: De Haro, J.J. (2022). Eines per l’avaluació del diari d’aprenentatge individual i del treball en equip.

## Dificultats en fer el diari d'aprenentatge

Hi ha diferents obstacles que l'alumnat pot trobar en fer el diari d'aprenentatge:

- Falta de temps: fer el diari d'aprenentatge pot requerir una mica de temps cada setmana i l'alumnat pot trobar-se amb la pressió d'altres compromisos com ara deures, activitats extraescolars, etc. Per superar aquest obstacle, es pot establir una rutina per fer el diari d'aprenentatge cada setmana i ser constant en la seva realització. També es pot buscar un moment de la setmana on es tingui més temps lliure per fer-lo.

- Falta de motivació: potser l'alumnat no veu la utilitat del diari d'aprenentatge i, per tant, no se sent motivat a fer-lo. En aquest cas, es pot parlar amb l'alumnat sobre els beneficis del diari d'aprenentatge, com ara la possibilitat de reflexionar sobre el mateix aprenentatge, identificar les dificultats i buscar solucions, etc. També es pot fer un seguiment del diari d'aprenentatge amb l'alumnat per ajudar-lo a veure el progrés que està fent.

- Dificultat per expressar-se: potser l'alumnat té dificultats per expressar les seves idees i reflexions de manera escrita. En aquest cas, es pot oferir ajuda per millorar les habilitats d'escriptura, com ara fer exercicis d'escriptura o proporcionar exemples d'entrades del diari d'aprenentatge. També es pot considerar l'opció de fer el diari d'aprenentatge de manera oral o amb vídeo en lloc de manera escrita.

## Exemple d'una entrada

""Aquesta setmana hem estudiat la unitat sobre les forces en Física. Al principi em va costar una mica entendre el concepte de força, però finalment ho vaig aconseguir gràcies a l'explicació del meu professor i als exercicis que vam fer en classe. També he tingut dificultats per resoldre els problemes que ens han posat com a deures, però he demanat ajuda als meus companys i a la professora i així ho he pogut resoldre.

D'entre tots els conceptes de la unitat, els que més m'han costat han estat els problemes pràctics. En canvi, els conceptes teòrics els he entès molt bé. Tot i així, encara em queda algun dubte sobre com cal aplicar la força de fricció en alguns casos.

Una de les coses que més m'ha agradat d'aquesta setmana ha estat el treball en equip amb els meus companys per resoldre els problemes. També he ajudat als meus companys a entendre els conceptes teòrics de la unitat.

He fet tots els deures que ens han donat i he revisat els conceptes de la unitat cada dia per estar preparat per a les avaluacions. Estic al dia amb el treball.""","alumnat, aprenentatge, autoavaluació, avaluació, avaluació formativa, coavaluació, diari, dificultats, equip, feedback, metacognició, pensament crític, perspectiva, problemes, reflexió, rutina de pensament, seguiment, setmana","Pensament Crític i Metacognició, Avaluació Formativa i Feedback",
Digital storytelling (relats digitals),"Els relats o narracions digitals consisteixen a combinar narratives i contingut digital, incloent-hi imatges, so i vídeo, a fi de crear una pel·lícula curta, usualment amb fort contingut emocional (Educause. (2011). Siete elementos esenciales de las Narraciones Digitales).

La planificació i l'elaboració de projectes multimèdia en forma de relat (*digital storytelling*, DST) intenta aprofitar les noves tecnologies digitals per potenciar aquest recurs didàctic. Originàriament, els DST se centraven sobretot en narracions d'experiències personals en format de vídeo, amb veu o entrevistes, de menys de 5 minuts. Actualment, el relat digital també pot integrar recursos argumentals i informatius, propis d'un gènere més documental.

Els relats digitals poden ser fer pel professorat, però amb les orientacions adequades els poden fer també l'alumnat (per més detalls veieu 8 pasos para implementar storytelling en el aula).
---

Font: Relatos digitales (digital storytelling) a De Haro, J.J. (2022). Herramientas y Servicios TIC Abiertos Para Educación.","aula, comunicació, construcció, contingut, creativitat, descobriment, digital, digitals, expressió, hipòtesi, investigació, narracions, originalitat, presentació, projectes, relats, storytelling, teorització, visual","Construcció de coneixement, Comunicació i Creativitat",
El foli giratori,"MIDA DE L'EQUIP: Equip base. 

OBJECTIUS: Activar coneixements previs, generar idees noves a partir d'altres, avaluar la comprensió d'un contingut. 

PASSOS: 

1. El professor encarrega una tasca als equips base (una llista de paraules, la redacció d'un conte, el que saben d'un determinat tema per conèixer les seves idees prèvies, una frase que resumeixi una idea fonamental del text que han llegit, etc.). 
1. Un alumne de l'equip comença a escriure la seva resposta en un foli i després l'hi passa al company del costat, seguint el sentit de les agulles del rellotge, de manera que el foli vagi girant. 
1. El següent alumne ha d'escriure la seva resposta, afegint nova informació per enriquir el treball. En acabar, s'ho passa al company del costat. 
1. El foli ha d'anar girant fins que tots hagin participat en la tasca, i tantes vegades com sigui necessari, fins que s'acabi el temps. 

OBSERVACIONS I CONSELLS PRÀCTICS: 
Recordar que mentre un membre de l'equip està escrivint la seva part, els altres han d'estar atents, ajudar-lo, corregir-li. També hi ha la possibilitat d'executar l'estructura de forma silenciosa. D'aquesta manera el docent pot indagar què ha aportat cadascú al grup 
(ús de colors diferents a l'hora d'escriure). 

Perquè l'activitat sigui dinàmica, establir una rotació ràpida, fins i tot controlant amb un rellotge. 

Demanar als alumnes que cada un escrigui amb un color diferent, d'aquesta manera podrem diferenciar bé les seves aportacions. 
Es pot utilitzar una petita pissarra en comptes d'un foli. Introduir materials que aportin novetat a l'activitat. 

Observar les aportacions de cada un dels membres de l'equip. 


Font:  Pérez, M. (2015). Dinámicas cooperativas.

---

**Explicació de la tècnica:**



**Aplicació de la tècnica:**

","activació, anàlisi, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comprensió, coneixements previs, cooperació, dinàmica de grup, docent, equip, estructura, feedback, foli, giratori, grup, idees prèvies, informació, lectura, professor, recordar, repassar, resum, seguiment, sintesi, treball en equip, tècnica","Activació de coneixements previs, Processament i Anàlisi de la informació, Avaluació Formativa i Feedback, Cohesió i Cooperació",
