Technique,Description,Tags,Fields,Program,Resumen
Aprendizaje experiencial,"El aprendizaje experiencial es una metodología que se basa en el aprendizaje a través de la experiencia directa y la reflexión sobre esta. Esta metodología se basa en la idea de que el aprendizaje se puede mejorar si los estudiantes participan directamente en actividades que les permitan experimentar de primera mano los conceptos que están estudiando.

En esta metodología, los alumnos no solo adquieren conocimientos teóricos, sino que también aprenden a través de la experiencia y la reflexión sobre esta. Esto les permite conectar los conceptos con la vida real y comprender mejor cómo aplicarlos a situaciones reales.

Las actividades que se pueden utilizar en esta metodología pueden ser muy diversas, como visitas a empresas o instituciones, estancias en el extranjero, trabajos de campo, etc. El objetivo es promover el aprendizaje mediante la experiencia directa y la reflexión sobre esta, en lugar de simplemente transmitir conocimientos teóricos de manera pasiva.

Este tipo de aprendizaje se puede incluir en la categoría de aprendizaje por descubrimiento.

## Ejemplo

Un ejemplo de aprendizaje experiencial podría ser una actividad en la que los estudiantes de biología visiten una reserva natural para observar de primera mano diferentes especies de animales y plantas, así como su hábitat y comportamiento. Esta actividad les permitirá experimentar de primera mano los conceptos que están estudiando en clase, como la biodiversidad, los ecosistemas o los ciclos de vida de los seres vivos.

Después de la visita, los estudiantes pueden reflexionar sobre sus observaciones y experiencias, y discutir entre ellos los conceptos que han aprendido. Esto les permitirá conectar los conceptos teóricos con la vida real y comprender mejor cómo aplicarlos a situaciones reales.","experiencia directa, reflexión, aplicación, entorno, metacognición","Construcción de conocimiento, Pensamiento Crítico y Metacognición",,"Metodología basada en aprender a partir de experiencias directas y reflexión posterior. Sirve para conectar teoría y realidad, favorecer la comprensión práctica de los conceptos y ayudar al alumnado a aplicar lo aprendido en situaciones reales."
Aprendizaje por descubrimiento,"El aprendizaje por descubrimiento se desarrolla mediante un proceso de búsqueda y resolución de problemas (Psicocode, 2020).

Se trata de que el alumnado encuentre la solución a los problemas por sí mismo y con la ayuda del profesorado, pero sin tener la solución definitiva. 



Se basa en el aprendizaje a través de la exploración y el descubrimiento de los estudiantes. En esta metodología, los alumnos tienen la oportunidad de realizar preguntas, investigar y experimentar para descubrir los conceptos o las habilidades que se quieren aprender. Esto les permite realizar sus propias conexiones y relaciones con lo que ya saben, lo que puede promover el aprendizaje más profundo y significativo. El aprendizaje por descubrimiento puede incluir diversas actividades, como el uso de materiales manipulativos o de juegos, la exploración de diferentes entornos o el uso de tecnologías de la información y la comunicación. Esta metodología se basa en la idea de que los estudiantes aprenden mejor cuando tienen la oportunidad de descubrir los conceptos por ellos mismos.

## Tipos de aprendizaje por descubrimiento

El aprendizaje por descubrimiento se puede dividir en dos categorías principales: el **aprendizaje por descubrimiento guiado** y el **aprendizaje por descubrimiento libre**.

- El **aprendizaje por descubrimiento guiado** implica que el enseñante proporciona a los alumnos algunas pistas o guías para ayudarlos a descubrir los conceptos o las habilidades que se quieren aprender. Esto puede incluir el uso de cuestiones o de indicaciones para dirigir la atención de los alumnos hacia determinados elementos o aspectos del aprendizaje.

- El **aprendizaje por descubrimiento libre**, por su parte, implica que los alumnos tienen una gran libertad para explorar y descubrir los conceptos o las habilidades por ellos mismos, sin ningún tipo de guía o ayuda externa. Esta metodología se basa en la idea de que los alumnos aprenden mejor cuando tienen la oportunidad de descubrir los conceptos por ellos mismos, ya que esto les permite realizar sus propias conexiones y relaciones con lo que ya saben.

## Ejemplos

### Ejemplos de aprendizaje por descubrimiento guiado
- Un grupo de alumnos de ciencia están estudiando la nutrición y tienen que diseñar un menú equilibrado para una semana. El enseñante proporciona a los alumnos una lista de las diferentes categorías de alimentos que se tienen que incluir en el menú (proteínas, legumbres, verduras, etc.), así como las cantidades recomendadas de cada categoría. Los alumnos tienen que utilizar esta información para seleccionar los alimentos que quieren incluir en su menú, y tienen que justificar sus decisiones.


- Una actividad en la cual los estudiantes tienen que descubrir cómo funciona un motor de combustión interna. El enseñante puede proporcionar a los estudiantes un modelo o una maqueta del motor y hacerles preguntas para dirigir su atención hacia determinados aspectos, como cómo se produce la combustión o cómo se transmite la potencia a los ejes.

### Ejemplos de aprendizaje por descubrimiento libre
- Un grupo de alumnos de arte tienen que diseñar una escultura con materiales reciclados. El enseñante proporciona a los alumnos una caja con diferentes materiales reciclados, como cartón, plástico, vidrio y metal, y les deja que exploren y experimenten con los materiales para crear su escultura. Los alumnos no reciben ningún tipo de instrucciones o guías sobre cómo tienen que utilizar los materiales, sino que tienen que utilizar su creatividad y su iniciativa para encontrar las mejores soluciones.


- Actividad en la cual los estudiantes tienen que descubrir cómo funciona un circuito eléctrico. El enseñante puede proporcionar a los estudiantes una serie de materiales (por ejemplo, pilas, hilos, interruptores, bombillas), así como una lista de objetivos (por ejemplo, hacer encender una bombilla con un interruptor). Después, los estudiantes tienen que utilizar su creatividad y su iniciativa para crear un circuito eléctrico que cumpla los objetivos establecidos, sin ningún tipo de instrucciones o guías previas. Esto les obliga a experimentar y a reflexionar sobre los resultados de sus experimentos para encontrar las mejores soluciones.


---

Otras fuentes consultadas: Jimenez Pierre,O.et al. (2007). Modelo de aprendizaje por descubrimiento para alumnos de química básica experimental.","descubrimiento, exploración, investigación, resolución de problemas, autonomía",Construcción de conocimiento,,"Metodología en la que el alumnado construye conocimientos mediante exploración, preguntas e investigación, con mayor o menor guía docente. Sirve para favorecer la autonomía, la curiosidad, la resolución de problemas y la comprensión significativa."
Cadena de Preguntas,"Se trata de una estructura apta para repasar el tema o temas trabajados hasta el momento y preparar el examen o simplemente para realizar una evaluación formativa y comprobar hasta qué punto se han alcanzado los objetivos previstos, y rectificar o ajustar, si es necesario, la programación.

1. Durante tres minutos aproximadamente cada equipo piensa una pregunta sobre el tema o los temas estudiados hasta el momento, que planteará al equipo que tiene a su lado, siguiendo un orden determinado (por ejemplo, la dirección de las agujas del reloj). Se trata de preguntas fundamentales (que consideren que podrían salir en un examen) sobre cuestiones trabajadas en clase, pensadas para ayudar al resto de equipos.
1. Pasados los tres minutos, el portavoz de un equipo plantea la pregunta al equipo siguiente, el cual la responde, y acto seguido el portavoz de este equipo realiza una pregunta al equipo que viene a continuación, y así sucesivamente hasta que el último equipo realiza la pregunta al primer equipo que ha intervenido, que ha empezado la “cadena de preguntas”.
1. Acabada la primera ronda, se dejan tres minutos más para pensar nuevas preguntas, pasados los cuales se iniciará una nueva cadena, pero en dirección contraria: cada equipo realiza la pregunta al equipo que en la primera ronda les había hecho la pregunta a ellos.

- Cada equipo tiene dos portavoces: uno para realizar la pregunta que han pensado entre todos y otro para dar la respuesta que han pensado entre todos.

- Si una pregunta ya ha sido planteada con anterioridad, no se puede repetir y salta el equipo que la había planteado.

Fuente: Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/apprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.

---

## Ejemplo
 El profesor de biología ha estado trabajando los conceptos de la circulación sanguínea con sus alumnos. Para comprobar los conocimientos de los estudiantes y prepararlos para el examen, decide utilizar la estructura de cadena de preguntas.

1. El profesor divide la clase en cuatro equipos y explica las reglas de la actividad. Cada equipo tiene tres minutos para pensar una pregunta sobre la circulación sanguínea que planteará al siguiente equipo.
1. Una vez pasados los tres minutos, el portavoz del equipo A plantea su pregunta al equipo B, que la responde y, a continuación, plantea una pregunta al equipo C. Así sucesivamente hasta que el último equipo, el equipo D, realiza la pregunta al equipo A.
1. Una vez acabada la primera ronda, se dejan tres minutos más para pensar nuevas preguntas, y se empieza una segunda ronda en dirección contraria: el equipo D realiza la pregunta al equipo A, que la responde y plantea una pregunta al equipo B, y así sucesivamente hasta que el último equipo, el equipo C, realiza la pregunta al equipo D.

1. Al final de la actividad, el profesor realiza un resumen de los conocimientos de los estudiantes y determina qué áreas necesitan más trabajo. También realiza una revisión de los conceptos clave de la circulación sanguínea para asegurar que todos los alumnos los han entendido de manera adecuada.","preguntas, repaso, evaluación formativa, cooperación, feedback","Evaluación Formativa y Feedback, Activación de conocimientos previos",,"Estructura cooperativa en la que los equipos elaboran y responden preguntas sobre un tema trabajado. Sirve para repasar contenidos, preparar evaluaciones, detectar dudas y promover la ayuda entre equipos mediante una dinámica de preguntas encadenadas."
Círculo de puntos de vista,"Una rutina para explorar otras perspectivas

## Finalidad: ¿Qué tipo de pensamiento fomenta esta rutina?
Esta rutina ayuda a los alumnos a considerar diferentes perspectivas sobre un tema. Entender que las personas piensan y sienten de manera diferente es la clave de un ideal de justicia.

## Aplicación: ¿Dónde y cuándo podemos utilizar esta rutina?

Esta rutina se puede utilizar al principio de una unidad para ayudar a los alumnos a encontrar nuevas perspectivas sobre el tema, imaginar diferentes personajes, temas y preguntas que están conectadas con él. También se puede utilizar después de leer el capítulo de un libro. Es motivador provocar diferentes temas; se trabaja muy bien esta rutina cuando los alumnos buscan aspectos que son blancos y negros. También se puede utilizar para abrir discusiones sobre algún dilema.

## Método: ¿Cómo podemos utilizar esta rutina?
Después de identificar un tema, los alumnos realizan una lluvia de ideas sobre diferentes perspectivas que puede haber. Se puede ayudar a los alumnos con estas preguntas:
¿Cómo se ve desde diferentes puntos en el espacio y desde diferentes puntos en el tiempo? ¿Quién y qué queda afectado? ¿Quién está involucrado? ¿A quién le puede preocupar? Después de la lluvia de ideas, cada alumno escoge un punto de vista. Hay que darles tiempo para preparar qué pueden decir sobre el tema desde esta perspectiva, para encarnar el punto de vista utilizando estas preguntas y para estructurar aquello que dice el personaje.




CÍRCULO DE PUNTOS DE VISTA

---

**PIENSO DESDE EL PUNTO DE VISTA DE **...

---
**PIENSO** ... 






---

**CONCLUSIONES**
 ¿Qué nuevas ideas tienes sobre el tema que antes no tenías? ¿Qué nuevas preguntas tienes?








---","perspectiva, empatía, pensamiento crítico, reflexión, debate","Pensamiento Crítico y Metacognición, Cohesión y Cooperación",,"Rutina en la que el alumnado analiza un tema desde distintos puntos de vista. Sirve para desarrollar empatía, pensamiento crítico, comprensión de perspectivas diversas y capacidad para formular nuevas preguntas sobre situaciones complejas."
CO-OP CO-OP,"Este método consiste en estructurar la clase para que los estudiantes trabajen en equipos con el objetivo de conseguir una meta que ayude a los otros estudiantes. 

1. En primer lugar, se hace una introducción a los temas para estimular la participación.

1. En segundo lugar, son los mismos estudiantes los que **eligen libremente los temas** que consideran más relevantes y cada equipo trabaja uno. 

1. Dentro del equipo se trabaja dividiendo el tema en **subtemas** que son desarrollados por cada uno de los componentes.
1. Cada uno de los miembros después tendrá que aportar sus conocimientos al resto del grupo.

1. Finalmente el grupo prepara su tema y lo presenta al resto de la clase.

La evaluación tiene lugar a tres niveles: coevaluación de la presentación en grupo, coevaluación de las contribuciones individuales al grupo y evaluación del material producido por el grupo.

Adaptado de: Grup de recerca sobre aprenentatge entre iguals. (2019). Métodos de aprendizaje cooperativo y Orientación Andújar. (2015). Actividades para fomentar al aprendizaje cooperativo.

---

## Un ejemplo de aplicación de la actividad cooperativa CO-OP CO-OP

1. El profesor hace una introducción a los temas de la unidad de aprendizaje, como por ejemplo la historia del arte contemporáneo.

1. Los alumnos forman equipos y eligen libremente los temas que consideran más relevantes para profundizar, como por ejemplo el surrealismo o el pop art.

1. Dentro de cada equipo, los estudiantes dividen el tema seleccionado en subtemas y cada componente del grupo trabaja un subtema diferente, como por ejemplo la vida y la obra de Salvador Dalí o la influencia de la publicidad en el arte pop.

1. Cada miembro del equipo aporta sus conocimientos al grupo y se discuten las diferentes perspectivas e interpretaciones.

1. Finalmente, cada equipo prepara la presentación de su tema para el resto de la clase, con imágenes, ejemplos y explicaciones detalladas.

- La evaluación tiene lugar a través de la coevaluación de la presentación en grupo, donde cada estudiante valora la participación y la contribución de los otros miembros del grupo. 
- También se hace una coevaluación de las contribuciones individuales al grupo, donde cada estudiante valora su propia participación y aportación. 
- Finalmente, se valora el material producido por el grupo, como las notas, las imágenes o los esquemas utilizados en la presentación.","cooperación, investigación, presentación, coevaluación, responsabilidad individual","Pensamiento Crítico y Metacognición, Evaluación Formativa y Feedback, Cohesión y Cooperación",,"Método cooperativo en el que los equipos eligen un tema, lo dividen en subtemas y lo presentan al grupo clase. Sirve para fomentar la responsabilidad individual, la cooperación, la investigación y la coevaluación de aportaciones y productos."
Conozcámonos,"## Objetivo

Que las personas del grupo se conozcan e intercambien gustos, preferencias, ideas y opiniones.

## Desarrollo
 Se entrega a cada participante una ficha con preguntas sobre diversos temas (aspectos personales, aficiones, habilidades, opiniones...) para que la complete. Para ello tendrá que preguntar sobre estas cuestiones a las personas del grupo.

Busca compañeras y compañeros que ... Nombres

- Sepan tocar la guitarra
- Este fin de semana hayan ido al cine
- Hayan viajado alguna vez a París
- Les guste coleccionar cosas
- No tengan teléfono móvil
- Tengan algún animal en casa
- ...

A continuación, se hará una valoración de la actividad con preguntas como las siguientes:

- ¿Habéis conseguido completar la tabla?
- ¿Hay alguna pregunta que no os haya gustado?
- ¿Habéis descubierto alguna nueva característica de algún compañero o compañera?...

Conclusiones

Es interesante conocer a las personas con las que convivimos día a día porque así las podemos comprender mejor y cooperar en la consecución de objetivos comunes.

Fuente: ECO. (2007). Dinámicas para hacer grupo.","cohesión de grupo, conocimiento personal, comunicación, preguntas",Cohesión y Cooperación,,"Dinámica de grupo en la que los participantes buscan compañeros que cumplan determinadas características o respondan a ciertas preguntas. Sirve para favorecer el conocimiento mutuo, iniciar la cohesión del grupo y mejorar la interacción entre alumnos."
Contrasta y compara,"La rutina de pensamiento Contrasta y compara es una técnica que se puede utilizar para ayudar a los alumnos a mejorar su comprensión y profundización en los conceptos o hechos que están estudiando. Esta rutina se puede aplicar tanto al comienzo de un tema como durante o al finalizarlo, dependiendo de las necesidades y objetivos del aprendizaje.

PROFESOR:

1. Proporciona a los alumnos diferentes fuentes de información sobre el tema que están estudiando, como artículos, libros o vídeos.

1. Pide a los alumnos que lean o vean las diferentes fuentes de información y que tomen notas sobre los puntos clave que encuentren.

1. Organiza a los alumnos en grupos de trabajo y pide que compartan sus notas con los otros miembros del grupo.

1. Asigna a cada grupo la tarea de comparar y contrastar las diferentes fuentes de información. Pide que busquen similitudes y diferencias entre las fuentes, y que reflexionen sobre por qué hay diferencias y cómo afectan a la comprensión del tema.

1. Proporciona soporte y guía a los grupos mientras realizan la tarea. Puedes hacerlo preguntando a los alumnos cuáles son las similitudes y diferencias que han encontrado, o proporcionando feedback sobre la calidad de las comparaciones que han hecho.

ALUMNO:

1. Examinad las diferentes fuentes de información que el profesor ha proporcionado.

1. Tomad notas sobre los puntos clave que encontréis en las fuentes.

1. Comparad y contrastad las diferentes fuentes de información con los otros miembros del grupo. Buscad similitudes y diferencias entre las fuentes, y reflexionad sobre por qué hay diferencias y cómo afectan a la comprensión del tema.

1. Participad en las discusiones con el grupo y compartid las ideas y reflexiones sobre las comparaciones y contrastes que habéis hecho.

1. Utilizad las notas y las reflexiones que habéis hecho para mejorar la comprensión del tema.

1. Escuchad el *feedback* del profesor y utilizadlo para mejorar las comparaciones y contrastes que habéis hecho.

## Ejemplo
Objetivo: Mejorar la comprensión de los alumnos sobre la Revolución Francesa

- Etapa 1: Proporcionar a los alumnos diferentes fuentes de información sobre la Revolución Francesa
  - Artículos de revistas
  - Libros de texto
  - Vídeos de historia
- Etapa 2: Pedir a los alumnos que lean o vean las fuentes de información y que tomen notas sobre los puntos clave
- Etapa 3: Organizar a los alumnos en grupos de trabajo y pedir que compartan sus notas
- Etapa 4: Asignar a cada grupo la tarea de comparar y contrastar las diferentes fuentes de información
  - Buscar similitudes y diferencias entre las fuentes
  - Reflexionar sobre por qué hay diferencias y cómo afectan a la comprensión del tema
- Etapa 5: Proporcionar soporte y guía a los grupos mientras realizan la tarea
  - Hacer preguntas
  - Proporcionar *feedback* sobre la calidad de las comparaciones
- Resultado: Mejora de la comprensión de los alumnos sobre la Revolución Francesa y desarrollo de habilidades de pensamiento crítico y comunicación.","comparación, contraste, análisis, lectura, pensamiento crítico, feedback","Procesamiento y Análisis de la información, Pensamiento Crític y Metacognición",,"Rutina en la que el alumnado compara distintas fuentes, ideas o fenómenos, identificando semejanzas y diferencias. Sirve para mejorar la comprensión, desarrollar pensamiento crítico y justificar comparaciones a partir de evidencias o información relevante."
Contrato de aprendizaje,"## Descripción
Acuerdo explícito entre alumno y profesor sobre objetivos, tareas, tiempos, recursos y criterios de evaluación. Ayuda a organizar el trabajo autónomo y a responsabilizar al alumnado de su propio proceso.

## Funcionamiento
1. Se define qué debe aprender o conseguir el alumno.
2. Se acuerdan tareas, productos o evidencias.
3. Se establecen plazos y recursos disponibles.
4. Se concretan criterios de evaluación y seguimiento.
5. Al final, el alumno revisa el grado de cumplimiento y reflexiona sobre el proceso.

## Objetivos
- Favorecer la autonomía y la planificación.
- Hacer visibles los compromisos de trabajo.
- Mejorar la autorregulación y la evaluación formativa.

## Ejemplo
En un proyecto de investigación, cada alumno acuerda con el profesor la pregunta que trabajará, las fuentes que consultará, el producto final y las fechas de entrega parciales.","autonomía, planificación, seguimiento, evaluación formativa, metacognición","Evaluación Formativa y Retroalimentación, Pensamiento Crítico y Metacognición",,"Acuerdo entre alumno y profesor sobre objetivos, tareas, recursos, plazos y criterios de evaluación. Sirve para favorecer la autonomía, la planificación, la responsabilidad personal y el seguimiento del propio aprendizaje."
Controversia académica,"OBJETIVOS: Mejorar la comprensión de los diferentes puntos de vista sobre un tema, desarrollar habilidades de debate, mejorar las capacidades de argumentación y de comunicación.

MÉTODO

1. Se divide el grupo en equipos de cuatro personas.
1. Cada pareja se posiciona sobre un tema determinado, una defendiendo una posición y la otra la posición contraria.
1. Cada pareja busca información para argumentar su posición y la presenta al grupo.
1. Después de las exposiciones, las parejas cambian de posición y seleccionan los mejores argumentos de la otra pareja para profundizar en ellos y presentarlos al grupo, en la posición contraria a la que defendían antes.
1. Finalmente, se hace una síntesis de los mejores argumentos para cada posición.

La idea es que, a medida que avanza la actividad, los estudiantes se vayan dando cuenta de la complejidad del tema y puedan ver las diferentes perspectivas que hay alrededor de él. Así, en lugar de defender una posición de manera enconada, aprenden a argumentar de manera más abierta y a tener en cuenta las diferentes perspectivas.


OBSERVACIONES Y CONSEJOS PRÁCTICOS:

- Se puede utilizar en cualquier momento del proceso de aprendizaje, tanto para resolver dudas o problemas como para repasar o profundizar en un tema determinado.

- Se puede hacer de forma oral o por escrito, dependiendo de las preferencias o necesidades de los estudiantes.

- Se puede utilizar para cualquier tema o materia, siempre que haya diferentes puntos de vista u opiniones sobre él.

- Hay que establecer las normas de debate antes de empezar la actividad, con el fin de garantizar una discusión respetuosa y productiva.

- Se recomienda realizar una síntesis final de las ideas expuestas por cada equipo, con el fin de facilitar la comprensión de los diferentes puntos de vista y la profundización en el tema.

Fuente: *Structuring Academic Controversy*, Johnson y Johnson, 1994 en Grup de recerca sobre aprenentatge entre iguals. (2016).","debate, argumentación, perspectiva, pensamiento crítico, cooperación, síntesis","Activación de conocimientos previos, Procesamiento y Análisis de la información, Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Evaluación Formativa y Feedback, Cohesión y Cooperación, Comunicación y Creatividad",,"Técnica en la que el alumnado defiende posturas opuestas sobre un tema y después cambia de perspectiva. Sirve para mejorar la argumentación, comprender la complejidad de los asuntos debatidos, escuchar razones contrarias y elaborar síntesis equilibradas."
"Cronometrado, Pareja, Comparte (Timed, Pair, Share)","1. El profesor propone un tema y marca un tiempo determinado para cada intervención.
1. Se forman parejas de estudiantes y se distribuye el tiempo de manera equitativa entre ellos.
1. El estudiante A comparte sus pensamientos sobre el tema mientras el estudiante B escucha de manera activa y toma notas.
1. Una vez finalizado el tiempo asignado, el estudiante B comparte sus pensamientos mientras el estudiante A escucha y toma notas.
1. Después del intercambio de ideas entre ambos estudiantes, se discuten los puntos de vista y se trabaja en una síntesis de las ideas compartidas por ambos.
1. El profesor puede guiar la discusión y ayudar a aclarar los puntos de vista o conflictos que puedan surgir.
1. Se valora la participación activa y la calidad de las ideas compartidas por ambos estudiantes.

Fuentes:

- Clowes, G. (2011). The Essential 5: A Starting Point for Kagan Cooperative Learning
- Carolina, H. L. K., Tamara, O. L. M., & Wendy, S. (2016). Aprendizaje cooperativo en la universidad

## Ejemplo

1. El profesor propone el tema """"La importancia de los océanos en el clima del planeta"" "".
1. Marcamos un tiempo de 5 minutos para cada intervención.
1. El estudiante A comparte con el estudiante B su opinión sobre el tema, mientras B escucha de manera activa.
1. Después de 5 minutos, B comparte con A su opinión sobre el tema, mientras A escucha de manera activa.
1. Una vez finalizadas las intervenciones, se realiza una breve síntesis de los puntos de vista de cada pareja.","parejas, escucha activa, síntesis, participación, comunicación","Construcción de conocimiento, Pensamiento Crítico y Metacognición, Evaluación Formativa y Feedback, Cohesión y Cooperación",,"Estructura cooperativa en parejas con tiempos definidos para hablar y escuchar. Sirve para asegurar participación equilibrada, mejorar la escucha activa, compartir ideas y elaborar una síntesis común a partir de las aportaciones de ambos alumnos."
"CSI: Color, Símbolo, Imagen","Una rutina para extraer la esencia de las ideas no verbales

## Finalidad: ¿Qué tipo de pensamiento fomenta esta rutina?

Esta rutina ayuda a los alumnos a identificar y depurar la esencia de las ideas de la lectura, la explicación o el visionado, de manera no verbal usando un color, un símbolo y una imagen para representarlas.

## Aplicación: ¿Dónde y cuándo podemos utilizar esta rutina?
Esta rutina se puede utilizar para mejorar la comprensión de una lectura, una explicación o un tema visionado. Podéis ayudar a los alumnos si las primeras veces se realizan con textos que tengan bien destacadas las ideas importantes. La síntesis ocurre cuando los alumnos seleccionan un color, símbolo e imagen para representar tres ideas. Esta rutina facilita la discusión de un texto o de acontecimientos cuando los alumnos comparten los colores, los símbolos o las imágenes.

## Método: ¿Cómo podemos utilizar esta rutina?

Después de leer un texto, el profesor pregunta a la clase qué ideas son las más interesantes o relevantes y se realiza una lista en la pizarra.

El profesor selecciona una de estas ideas y pide a los alumnos: *¿qué color utilizarías para representar esta idea? *

Selecciona otra idea y pregunta: *¿qué símbolo se podría utilizar para representar esta idea?* (recordar a los alumnos que el símbolo es una representación o dibujo sencillo, como el símbolo del dólar)

Selecciona otra idea y pregunta: *¿qué imagen usarías para representar esta idea? *(recordar a los alumnos que una imagen es algo visual o metafórico, pero que es más compleja y más desarrollada que un símbolo, por ejemplo el billete).

CSI: COLOR, SÍMBOLO, IMAGEN

Una rutina para extraer la esencia de las ideas no verbales

| IDEA 1 |IDEA 2 | IDEA 3 |
|**Color**
¿Qué color elegirías para representar esta idea?  |**Símbolo**
¿Qué símbolo elegirías para representar esta idea?|**Imagen**
¿Qué imagen elegirías para representar esta idea? |
 


COMENTARIOS










---

## Ejemplo de aplicación de la rutina CSI: Color, Símbolo, Imagen

- Objetivo: Mejorar la comprensión de los alumnos sobre la Segunda Guerra Mundial
- Etapa 1: Proporcionar a los alumnos información sobre la Segunda Guerra Mundial a través de lecturas y vídeos
- Etapa 2: Pedir a los alumnos que seleccionen tres ideas importantes del tema
  - Ejemplo: La expansión del nazismo, el ataque a Pearl Harbor, la victoria de los Aliados
- Etapa 3: Pedir a los alumnos que elijan un color, un símbolo y una imagen para representar cada idea
  - Ejemplo:
    - La expansión del nazismo: Color rojo, símbolo de bandera nazi, imagen de Adolf Hitler
    - El ataque a Pearl Harbor: Color azul, símbolo de barco, imagen de la flota norteamericana en llamas
    - La victoria de los Aliados: Color verde, símbolo de bandera de los Estados Unidos, imagen de soldados celebrando la victoria
- Etapa 4: Pedir a los alumnos que compartan los colores, símbolos e imágenes con el grupo
- Resultado: Mejora de la comprensión de los alumnos sobre la Segunda Guerra Mundial y desarrollo de la capacidad de síntesis de los alumnos a través del uso de elementos virtuales.

- Etapa 5: Utilizar los colores, símbolos e imágenes seleccionados para abrir discusiones y reflexionar sobre el tema. Puedes hacer preguntas como:
  - ¿Qué representa cada color, símbolo e imagen para ti?
  - ¿Cómo están relacionadas las diferentes ideas con los colores, símbolos e imágenes seleccionados?
  - ¿Cuáles son las implicaciones de cada idea para el mundo actual?

Esta rutina puede ser útil para ayudar a los alumnos a mejorar la comprensión de un tema complejo y a desarrollar habilidades de pensamiento crítico y reflexión.","síntesis visual, creatividad, comunicación, comprensión, reflexión","Pensamiento Crítico y Metacognición, Comunicación y Creatividad",,"Rutina en la que el alumnado representa ideas mediante un color, un símbolo y una imagen. Sirve para identificar la esencia de un contenido, desarrollar síntesis visual, estimular la creatividad y facilitar la discusión sobre significados."
Design Thinking,"## Descripción
Metodología activa orientada a resolver problemas mediante un proceso creativo centrado en las personas. Parte de la comprensión de una necesidad, genera ideas, construye prototipos y los prueba para mejorarlos.

## Fases habituales
1. **Empatizar**: comprender a las personas afectadas por el problema.
2. **Definir**: formular con claridad la necesidad o reto.
3. **Idear**: generar muchas soluciones posibles.
4. **Prototipar**: construir una versión sencilla de la solución.
5. **Probar**: recoger feedback y mejorar la propuesta.

## Objetivos
- Desarrollar creatividad aplicada a problemas reales.
- Fomentar la colaboración y la toma de decisiones.
- Aprender a mejorar una solución a partir de pruebas y retroalimentación.

## Ejemplo
En digitalización, los alumnos diseñan una solución para mejorar la organización de tareas del grupo clase. Entrevistan a compañeros, definen necesidades, proponen ideas, crean un prototipo de plantilla digital y lo prueban durante una semana.","diseño, empatía, prototipo, creatividad, feedback, resolución de problemas","Resolución de problemas y Retos, Comunicación y Creatividad, Cohesión y Cooperación, Evaluación Formativa y Retroalimentación",,"Metodología centrada en resolver problemas mediante empatía, definición del reto, ideación, prototipado y prueba. Sirve para desarrollar creatividad aplicada, trabajo en equipo, mejora mediante feedback y soluciones centradas en las necesidades de las personas."
